asn_organization,last_seen_date,latitude,longitude,validator_count
OVH SAS,2025-02-27 19:23:11.000 UTC,51.4,0.1,3
TELUS Communications Inc.,2025-02-27 16:47:12.000 UTC,49.2,-123.1,1
Hetzner Online GmbH,2025-02-27 15:41:11.000 UTC,50.5,12.4,1
Altonetz GmbH,2025-02-27 14:50:11.000 UTC,48.1,11.6,1
OVH SAS,2025-02-27 12:56:41.000 UTC,50.1,8.7,1
"JSC ""ER-Telecom Holding""",2025-02-27 12:38:41.000 UTC,56.3,44.0,2
OVH SAS,2025-02-27 10:45:13.000 UTC,45.5,-122.7,34
Orange S.A.,2025-02-27 09:45:41.000 UTC,44.8,-0.6,1
Swisscom (Schweiz) AG,2025-02-27 08:38:11.000 UTC,46.7,7.9,1
Wholesail networks LLC,2025-02-27 08:03:03.000 UTC,47.9,-122.2,1
Verizon Business,2025-02-27 07:51:42.000 UTC,40.7,-74.0,1
"Amazon.com, Inc.",2025-02-27 07:12:42.000 UTC,39.0,-77.5,1
Verizon Business,2025-02-27 06:43:42.000 UTC,40.9,-74.3,1
VODAFONE ESPANA S.A.U.,2025-02-27 06:40:40.000 UTC,40.4,-3.7,1
Sonic Telecom LLC,2025-02-27 05:46:42.000 UTC,37.8,-122.3,1
Verizon Business,2025-02-27 01:54:41.000 UTC,40.7,-74.3,1
VODAFONE-PANAFON HELLENIC TELECOMMUNICATIONS COMPANY SA,2025-02-27 00:53:11.000 UTC,38.2,21.7,2
Verizon Business,2025-02-26 23:46:11.000 UTC,40.7,-74.3,2
"Amazon.com, Inc.",2025-02-26 23:41:42.000 UTC,40.0,-83.0,1
OVH SAS,2025-02-26 23:34:41.000 UTC,50.6,3.1,61
Verizon Business,2025-02-26 22:28:12.000 UTC,40.7,-74.0,1
Hetzner Online GmbH,2025-02-26 22:15:11.000 UTC,60.4,25.0,61
"DataBank Holdings, Ltd.",2025-02-26 20:20:12.000 UTC,40.4,-111.7,59
Distributel Communications Limited,2025-02-26 20:14:42.000 UTC,43.6,-79.7,2
Hetzner Online GmbH,2025-02-26 19:50:11.000 UTC,60.4,25.0,61
"AT&T Services, Inc.",2025-02-26 17:51:42.000 UTC,39.8,-86.2,1
,2025-02-26 17:49:41.000 UTC,55.8,37.6,1
Iway AG,2025-02-26 17:37:41.000 UTC,47.4,8.6,1
Charter Communications Inc,2025-02-26 15:10:13.000 UTC,25.9,-97.5,1
Latitude.sh LTDA,2025-02-26 15:09:12.000 UTC,25.8,-80.2,61
"Frontier Communications of America, Inc.",2025-02-26 14:05:42.000 UTC,41.5,-75.7,1
"Interserver, Inc",2025-02-26 14:04:11.000 UTC,40.7,-74.1,30
TPG Telecom Limited,2025-02-26 13:43:53.000 UTC,-27.5,153.0,1
"CenturyLink Communications, LLC",2025-02-26 08:41:42.000 UTC,40.6,-105.1,2
Two Degrees Networks Limited,2025-02-26 08:40:43.000 UTC,-36.8,174.8,1
Charter Communications Inc,2025-02-26 07:53:12.000 UTC,42.9,-77.3,1
OVH SAS,2025-02-26 07:10:11.000 UTC,50.6,3.1,61
Hetzner Online GmbH,2025-02-26 06:23:42.000 UTC,60.4,25.0,61
Server Central Network,2025-02-26 06:18:11.000 UTC,39.0,-77.5,1
OVH SAS,2025-02-26 06:09:11.000 UTC,51.0,1.9,61
BT Communications Ireland Limited,2025-02-26 05:28:11.000 UTC,53.3,-6.2,1
Swisscom (Schweiz) AG,2025-02-26 03:35:41.000 UTC,47.3,8.5,1
ANEXIA Internetdienstleistungs GmbH,2025-02-26 03:15:11.000 UTC,46.6,14.3,24
Hetzner Online GmbH,2025-02-26 02:18:11.000 UTC,60.4,25.0,61
netcup GmbH,2025-02-26 01:45:11.000 UTC,48.2,16.4,23
Free SAS,2025-02-25 23:11:11.000 UTC,48.9,2.3,1
"Amazon.com, Inc.",2025-02-25 22:44:41.000 UTC,40.0,-83.0,61
Skoed Limited,2025-02-25 21:04:11.000 UTC,35.9,14.5,61
Google LLC,2025-02-25 19:49:02.000 UTC,38.9,-77.0,61
Google LLC,2025-02-25 18:14:11.000 UTC,53.2,6.6,3
Hetzner Online GmbH,2025-02-25 18:09:11.000 UTC,60.4,25.0,61
Iway AG,2025-02-25 17:47:41.000 UTC,47.4,8.6,1
Virgin Media Limited,2025-02-25 16:53:11.000 UTC,51.8,0.1,1
OVH SAS,2025-02-25 16:42:11.000 UTC,50.1,8.7,3
"Amazon.com, Inc.",2025-02-25 16:38:11.000 UTC,50.1,8.7,5
"Amazon.com, Inc.",2025-02-25 14:26:11.000 UTC,53.3,-6.2,1
Hetzner Online GmbH,2025-02-25 14:07:11.000 UTC,60.4,25.0,61
Superloop,2025-02-25 13:04:43.000 UTC,-33.9,151.2,1
netcup GmbH,2025-02-25 10:34:11.000 UTC,48.1,16.3,23
"NOS COMUNICACOES, S.A.",2025-02-25 09:22:41.000 UTC,41.1,-8.6,1
Hetzner Online GmbH,2025-02-25 08:35:42.000 UTC,60.4,25.0,61
IONOS SE,2025-02-25 08:04:38.000 UTC,52.5,13.4,1
Verizon Business,2025-02-25 07:53:41.000 UTC,40.8,-74.2,1
"CoreWeave, Inc",2025-02-25 07:53:12.000 UTC,40.7,-74.0,1
netcup GmbH,2025-02-25 07:21:41.000 UTC,49.4,10.8,1
Verizon Business,2025-02-25 06:44:41.000 UTC,40.7,-74.0,1
Hetzner Online GmbH,2025-02-25 05:38:11.000 UTC,60.4,25.0,61
Hot-Net internet services Ltd.,2025-02-25 05:31:12.000 UTC,32.8,35.0,1
"AT&T Services, Inc.",2025-02-25 05:02:12.000 UTC,33.7,-84.4,2
Hetzner Online GmbH,2025-02-25 04:17:11.000 UTC,60.4,25.0,61
Hetzner Online GmbH,2025-02-25 03:25:41.000 UTC,60.4,25.0,61
Hetzner Online GmbH,2025-02-25 03:15:41.000 UTC,50.5,12.4,1
"Comcast Cable Communications, LLC",2025-02-25 02:06:10.000 UTC,47.6,-122.3,4
"NOS COMUNICACOES, S.A.",2025-02-25 01:41:29.000 UTC,41.1,-8.6,1
KOMRO Gesellschaft fuer Telekommunikation mit beschraenkter Haftung,2025-02-25 00:03:50.000 UTC,47.9,12.1,2
Distributel Communications Limited,2025-02-24 23:31:42.000 UTC,43.6,-79.7,1
OVH SAS,2025-02-24 23:19:11.000 UTC,51.4,0.1,3
Skoed Limited,2025-02-24 21:56:11.000 UTC,35.9,14.5,61
AIS Fibre,2025-02-24 17:46:42.000 UTC,13.8,100.5,2
Sonic Telecom LLC,2025-02-24 15:46:42.000 UTC,37.8,-122.4,1
"AT&T Services, Inc.",2025-02-24 14:49:12.000 UTC,39.8,-86.2,1
Google LLC,2025-02-24 13:51:41.000 UTC,53.2,6.6,1
"Amazon.com, Inc.",2025-02-24 11:55:12.000 UTC,40.0,-83.2,1
NForce Entertainment B.V.,2025-02-24 08:27:12.000 UTC,52.4,4.9,1
"NOS COMUNICACOES, S.A.",2025-02-24 06:04:41.000 UTC,41.1,-8.6,1
Bell Canada,2025-02-24 05:30:16.000 UTC,43.8,-79.5,2
OVH SAS,2025-02-24 02:45:41.000 UTC,45.3,-73.9,1
MEVSPACE sp. z o.o.,2025-02-24 02:34:11.000 UTC,52.2,21.0,1
OVH SAS,2025-02-24 01:50:11.000 UTC,50.6,3.1,25
Akamai Connected Cloud,2025-02-24 01:46:53.000 UTC,51.5,-0.1,3
Deutsche Telekom AG,2025-02-24 00:05:40.000 UTC,51.7,8.8,1
Google LLC,2025-02-23 23:12:11.000 UTC,38.9,-77.0,61
Sonic Telecom LLC,2025-02-23 22:51:42.000 UTC,37.8,-122.4,1
Hetzner Online GmbH,2025-02-23 22:18:11.000 UTC,60.4,25.0,61
OVH SAS,2025-02-23 21:55:12.000 UTC,39.0,-77.5,4
OVH SAS,2025-02-23 21:50:42.000 UTC,39.0,-77.5,4
OVH SAS,2025-02-23 21:46:11.000 UTC,39.0,-77.5,4
Vodafone GmbH,2025-02-23 21:38:41.000 UTC,50.8,6.1,1
Beanfield Technologies Inc.,2025-02-23 20:55:12.000 UTC,43.7,-79.4,1
Hetzner Online GmbH,2025-02-23 20:55:11.000 UTC,60.4,25.0,61
CHINANET-BACKBONE,2025-02-23 20:33:12.000 UTC,28.2,113.0,2
Skoed Limited,2025-02-23 17:22:41.000 UTC,35.9,14.5,61
